index,Code,year,n_days,mean,std,min,max
103,1653A,2016,366,71.1,52.72,16.7,381.12
103,1653A,2017,365,58.09,37.05,14.45,275.65
103,1653A,2018,360,49.8,30.45,12.81,246.12
103,1653A,2019,364,56.41,33.56,3.38,206.83
104,1655A,2015,358,83.27,46.45,8.55,356.08
104,1655A,2016,366,64.99,45.1,9.24,351.58
104,1655A,2017,365,54.36,35.76,9.46,232.04
104,1655A,2018,359,48.32,34.41,9.76,252.0
104,1655A,2019,363,53.96,33.0,3.61,218.35
105,1718A,2015,363,91.19,58.35,16.9,535.57
105,1718A,2016,366,80.28,55.34,15.42,445.33
105,1718A,2017,359,67.7,40.68,4.65,287.54
105,1718A,2018,360,59.61,46.61,3.4,319.12
105,1718A,2019,362,59.97,42.61,8.35,271.0
106,1719A,2015,357,94.85,53.94,16.37,463.29
106,1719A,2016,366,79.62,54.48,12.04,428.45
106,1719A,2017,365,69.04,40.35,7.74,272.79
106,1719A,2018,360,55.91,44.38,7.21,301.37
106,1719A,2019,359,57.84,40.55,10.26,250.21
107,1720A,2015,364,97.62,58.52,18.05,480.62
107,1720A,2016,366,83.87,56.74,11.67,447.75
107,1720A,2017,363,73.21,42.97,9.57,293.75
107,1720A,2018,359,62.78,46.66,4.28,310.79
107,1720A,2019,361,60.87,45.52,5.81,313.17
108,1727A,2015,364,65.02,36.89,14.83,340.67
108,1727A,2016,366,73.52,42.22,11.96,289.12
108,1727A,2017,365,62.47,33.9,6.74,219.26
108,1727A,2018,359,51.57,32.16,8.22,202.53
108,1727A,2019,364,47.65,33.05,8.91,298.88
109,1729A,2015,110,57.77,31.06,13.2,194.26
110,1730A,2015,364,63.55,38.06,4.87,288.89
